Title,confirm,Address,phone,Price,dish,special_diet,rating,review
Brilliant Top Bar, Đã được xác nhận,"162 Bạch Đằng Phường Hải Châu, Quận Hải Châu, Khách Sạn Brilliant Dà nẵng, Đà Nẵng Việt Nam",+84 236 3222 999,93.023 ₫ - 697.674 ₫,"Nhà hàng bít tết, Quầy bar","Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",910 đánh giá
The Grill, Đã được xác nhận,"35 Trường Sa Hòa Hải, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3988 999,88.000 ₫ - 2.088.000 ₫,"Nhà hàng bít tết, Hải sản, Kiểu Âu, Quốc tế, Thịt nướng, Món kết hợp",Tùy chọn đồ ăn không có gluten,"5,0 ",199 đánh giá
Cape Nao Beach Club, Đã được xác nhận,"Melia Danang Beach Resort, No.19, Truong Sa street Hoa Hai Ward, Ngu Hanh Son District, Melia Danang Resort, Đà Nẵng 550000 Việt Nam",+84 236 3929 888,139.535 ₫ - 1.162.791 ₫,"Hải sản, Kiểu Địa Trung Hải, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",251 đánh giá
Citron Restaurant, Đã được xác nhận,"Hoàng Sa InterContinental Danang Sun Peninsula Resort, Đà Nẵng Việt Nam",+84 236 3938 888,"Kiểu Á, Kiểu Việt, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi","4,5 ",825 đánh giá
Bikini Bottom Express, Đã được xác nhận,"47 An Thuong 2, Đà Nẵng 550000 Việt Nam",+84 93 491 69 11,30.000 ₫ - 220.000 ₫,"Kiểu Mỹ, Cà phê, Kiểu Bữa tối","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",288 đánh giá
Taco Ngon, Đã được xác nhận,"80/59 Lê Hữu Trác Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 90 650 42 84,"Kiểu Mexico, Đồ ăn nhanh, Món kết hợp, Thức ăn đường phố","Bữa tối, Đêm muộn, Đồ uống, Bữa trưa","Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Chỗ ngồi, Bãi đỗ xe đường phố, Lối vào ra cho xe lăn, Phục vụ đồ uống có cồn, Rượu và bia, Chỉ chấp nhận tiền mặt, Wifi miễn phí, Dịch vụ bàn","4,5 ",614 đánh giá
Olivia's Prime Steakhouse, Đã được xác nhận,"505 Trần Hưng Đạo P. An Hải Tây, Q. Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 90 816 33 52,348.837 ₫ - 3.488.372 ₫,"Nhà hàng bít tết, Quầy bar, Thịt nướng, Quầy rượu vang, Kiểu Mỹ",Tùy chọn đồ ăn không có gluten,"4,5 ",464 đánh giá
My Casa Tapas Bar, Đã được xác nhận,"53 Morrison, Đà Nẵng 550000 Việt Nam",+84 126 990 8603,"Kiểu Ý, Quầy bar, Kiểu Địa Trung Hải, Kiểu Âu, Kiểu Tây Ban Nha","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Đêm muộn, Đồ uống, Bữa trưa, Bữa tối, Bữa nửa buổi","4,5 ",1.166 đánh giá
Nhà Hàng Panorama, Đã được xác nhận,"120A Nguyễn Văn Thoại Tầng 16, Khách Sạn Royal Lotusl Đà Nẵng, Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 6261 999,46.512 ₫ - 581.395 ₫,"Kiểu Á, Đồ nướng, Kiểu Hàn Quốc","Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",455 đánh giá
Red Sky Steakhouse, Đã được xác nhận,"248 Trần Phú, Đà Nẵng Việt Nam",+84 236 3894 895,93.023 ₫ - 697.674 ₫,"Nhà hàng bít tết, Kiểu Âu, Quốc tế","Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",979 đánh giá
Quán Tacos Danang, Đã được xác nhận,"K72/17 Nguyễn Văn Thoại, Đà Nẵng 550000 Việt Nam",+84 93 517 03 22,"Kiểu Mexico, Kiểu La tinh","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","4,5 ",315 đánh giá
Nhà hàng L' Italiano, Đã được xác nhận,"An Thượng 30 Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 606 94 58,3 ₫ - 10 ₫,"Kiểu Ý, Pizza, Kiểu Địa Trung Hải, Kiểu Âu, Naples, Campania, Miền Nam nước Ý","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",799 đánh giá
Happy Heart Cafe, Đã được xác nhận,"57 Ngô Thi Sỹ Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3888 384,46.512 ₫ - 279.070 ₫,"Pizza, Tốt cho sức khỏe, Kiểu Mỹ, Cà phê, Kiểu Mỹ bản xứ","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",727 đánh giá
Nén Restaurant, Đã được xác nhận,"Lô 20, Mỹ Đa Tây 2 Khuê Mỹ, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 90 574 30 70,953.488 ₫ - 1.395.349 ₫,"Kiểu Việt, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",323 đánh giá
Cabanon Palace, Đã được xác nhận,"150-156 Nguyễn Văn Linh Tầng 6, Hai Van Palace, Đà Nẵng 550000 Việt Nam",+84 92 317 73 35,600.000 ₫ - 1.600.000 ₫,"Kiểu Pháp, Kiểu Địa Trung Hải, Kiểu Âu",Tùy chọn ăn chay,"5,0 ",165 đánh giá
Fatfish Restaurant & Lounge Bar, Đã được xác nhận,"439 Trần Hưng Đạo, Đà Nẵng 550000 Việt Nam",+84 236 3945 707,162.791 ₫ - 558.140 ₫,"Pizza, Hải sản, Đương đại, Món kết hợp, Quốc tế",Phù hợp với người ăn chay,"4,5 ",755 đánh giá
Le Comptoir Danang, Đã được xác nhận,"16 Chế Lan Viên Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 91 589 12 84,150.000 ₫ - 1.200.000 ₫,"Kiểu Pháp, Quầy rượu vang, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",90 đánh giá
Mumtaz Indian Restaurant, Đã được xác nhận,"69 Hoài Thanh Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3839 888,"Kiểu Ấn Độ, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","4,5 ",658 đánh giá
Pizza 4P's Hoang Van Thu, Đã được xác nhận,"08 Hoàng Văn Thụ Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 1900 6043,5 ₫ - 590.909 ₫,"Kiểu Ý, Kiểu Nhật, Pizza, Phong cách ẩm thực Fusion Nhật Bản","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",537 đánh giá
Chay Corner - Vietnamese Dumplings, Đã được xác nhận,"17 Lê Hữu Trác An Hải Đông, Đà Nẵng 550000 Việt Nam",+84 126 664 6188,"Cà phê, Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Việt, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","5,0 ",81 đánh giá
Family Indian Restaurant, Đã được xác nhận,"231 Hồ Nghinh Quận Sơn Trà, Đà Nẵng 47000 Việt Nam",+84 90 196 29 29,"Kiểu Ấn Độ, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn","4,5 ",1.470 đánh giá
Cây Me Restaurant, Đã được xác nhận,"119 Đỗ Bá Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 93 586 02 06,40.000 ₫ - 150.000 ₫,"Hải sản, Kiểu Á, Kiểu Việt, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",705 đánh giá
Nhà Hàng Ấn Độ Maharaja, Đã được xác nhận,"09 An Thượng 2, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng 550000 Việt Nam",+84 90 197 32 75,100.000 ₫ - 250.000 ₫,Kiểu Ấn Độ,"Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten","4,5 ",337 đánh giá
Hải Cảng Đà Nẵng Restaurant, Đã được xác nhận,"36 -38 Bạch Đằng Phường Thạch Thang, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 90 115 16 36,209.302 ₫ - 2.302.326 ₫,"Kiểu Trung Quốc, Hải sản, Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Bữa tối, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",206 đánh giá
Kebab Ngon Da Nang, Đã được xác nhận,"21 An Thuong 26, Đà Nẵng 550000 Việt Nam",+84 79 938 9646,"Đồ ăn nhanh, Kiểu Trung Đông, Quốc tế, Món kết hợp, Thức ăn đường phố","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","5,0 ",123 đánh giá
Quán Pizza Da Vinci, Đã được xác nhận,"41 An Thuong 2 Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 076 369 3609,46.512 ₫ - 232.558 ₫,"Pizza, Kiểu Ý, Quốc tế, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",216 đánh giá
Limoncello, Đã được xác nhận,"187 Trần Phú, Đà Nẵng 550000 Việt Nam",+84 236 3561 064,93.023 ₫ - 418.605 ₫,"Kiểu Ý, Pizza, Kiểu Âu, Naples, Campania, Miền Nam nước Ý","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",919 đánh giá
La Maison 1888, Đã được xác nhận,"InterContinental Danang Sun Peninsula Resort, Bai Bac, Son Tra Peninsula Bai Bac, Son Tra Peninsula, Đà Nẵng 550000 Việt Nam",+84 236 3938 888,581.395 ₫ - 4.418.605 ₫,"Kiểu Pháp, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",532 đánh giá
Chicland Lounge, Đã được xác nhận,"Tầng thượng, 210 Võ Nguyên Giáp Chicland Hotel, Phước Mỹ, Đà Nẵng 550000 Việt Nam",+84 236 2232 222,116.279 ₫ - 2.325.581 ₫,"Kiểu Âu, Quán bar phục vụ đồ ăn, Quầy bar, Quán rượu","Phục vụ đồ uống có cồn, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn","5,0 ",70 đánh giá
Barefoot restaurant, Đã được xác nhận,"Bai Bac, Đà Nẵng Việt Nam",+84 236 3938 888,116.279 ₫ - 3.209.302 ₫,"Kiểu Địa Trung Hải, Hải sản","Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten, Phù hợp với người ăn chay","4,5 ",157 đánh giá
Sofia Restaurant, Đã được xác nhận,"Lô I - 11 Đường Phạm Văn Đồng, Sơn Trà, Da Nẵng Lô I - 11 Đường Phạm Văn Đồng, Sơn Trà, Da Nẵng, Đà Nẵng 0511 Việt Nam",+84 236 3528 567,"Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi","4,5 ",648 đánh giá
Cơm Nhà Linh, Đã được xác nhận,"An Thượng 26, Đà Nẵng 550000 Việt Nam",+84 98 177 89 25,46.512 ₫ - 465.116 ₫,"Kiểu Á, Kiểu Việt, Tốt cho sức khỏe, Món kết hợp, Kiểu Bữa tối","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",170 đánh giá
The Lounge, Đã được xác nhận,"118-120 Võ Nguyên Giáp Four Points by Sheraton Danang, Phuoc My Ward, Son Tra District, Đà Nẵng 550000 Việt Nam",+84 236 3997 979,46.512 ₫ - 348.837 ₫,"Quốc tế, Món kết hợp, Kiểu Việt, Cà phê","Bữa sáng, Bữa trưa, Bữa tối, Đồ uống","5,0 ",65 đánh giá
Son Tra Retreat - Garden Lounge & Eatery, Đã được xác nhận,"11 Lê Văn Lương, Tho Quang, Đà Nẵng 550000 Việt Nam",+84 236 3919 188,49.000 ₫ - 759.000 ₫,"Kiểu Việt, Quầy bar, Quán rượu, Kiểu Âu, Quán bar phục vụ đồ ăn",Tùy chọn ăn chay,"5,0 ",64 đánh giá
Golden Meat House, Đã được xác nhận,"100 Trần Bạch Đằng Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3712 888,5 ₫ - 60 ₫,"Nhà hàng bít tết, Đồ nướng, Kiểu Hàn Quốc, Thịt nướng, Nhà hàng bia","Bữa tối, Bữa trưa, Bữa nửa buổi, Đêm muộn, Đồ uống","5,0 ",63 đánh giá
Nhà Hàng Tre Việt, Đã được xác nhận,"180 Bạch Đằng Hải Châu 1, Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3575 809,69.767 ₫ - 465.116 ₫,Kiểu Việt,"Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",376 đánh giá
Burger Bros, Đã được xác nhận,"18 An Thượng 4, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 94 557 62 40,"Đồ ăn nhanh, Kiểu Bữa tối","Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","Cửa hàng bán thức ăn mang về, Ngồi ngoài trời, Chỗ ngồi, Lối vào ra cho xe lăn, Phục vụ đồ uống có cồn, Wifi miễn phí, Dịch vụ bàn, Chỉ chấp nhận tiền mặt, Nhà hàng không hút thuốc","4,5 ",1.611 đánh giá
Nhà hàng Làng Nghệ, Đã được xác nhận,"119 Lê Lợi, P. Thạch Thang, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 121 351 1119,46.512 ₫ - 1.162.791 ₫,"Nhà hàng bán bia, Kiểu Á, Kiểu Việt, Kiểu Bữa tối, Quán rượu đặc sản","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",184 đánh giá
Le Bambino, Đã được xác nhận,"122/11 Quang Trung Street Thạch Thang, Q. Hải Châu, Đà Nẵng Việt Nam",+84 236 3896 386,581.395 ₫ - 1.162.791 ₫,Kiểu Pháp,"Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",429 đánh giá
Nhà hàng VietFood, Đã được xác nhận,"247-249 Hồ Nghinh Phước Mỹ, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 90 592 29 05,50.000 ₫ - 100.000 ₫,"Cửa hàng thức ăn ngon, Kiểu Việt, Nhà hàng bán bia","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",135 đánh giá
Vertigo Bar, Đã được xác nhận,"324 Trần Bạch Đằng Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 358 40 70,46.512 ₫ - 465.116 ₫,"Quầy bar, Kiểu Á, Quán rượu",Phù hợp với người ăn chay,"4,5 ",248 đánh giá
Bánh Xèo Bà Dưỡng, Chưa được xác nhận,"K280/23 Hoang Dieu, Đà Nẵng Việt Nam",+84 236 3996 959,"Kiểu Á, Kiểu Việt","Bữa trưa, Bữa tối, Bữa nửa buổi","Cửa hàng bán thức ăn mang về, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn","4,0 ",660 đánh giá
Pho Viet Kieu, Đã được xác nhận,"65 Phan Tu My An, Ngu Hanh Son, Đà Nẵng 550000 Việt Nam",+84 162 945 6309,4 ₫ - 10 ₫,"Kiểu Việt, Kiểu Á, Súp, Kiểu Pháp, Món kết hợp",Tùy chọn ăn chay,"4,5 ",314 đánh giá
Thùng Phi BBQ, Đã được xác nhận,"195/9 Nguyễn Văn Thoại, Quận Ngũ Hánh Sơn 195/9 Nguyen Van Thoai, Đà Nẵng 550000 Việt Nam",+84 93 454 22 33,"Kiểu Á, Kiểu Việt, Đồ nướng",Tùy chọn đồ ăn không có gluten,Bữa tối,"4,5 ",332 đánh giá
EMO’S Vietnamese Taste Restaurant, Đã được xác nhận,"Đường Mỹ Khê 4 Phước Mỹ, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 93 484 49 88,3 ₫ - 10 ₫,"Hải sản, Kiểu Việt, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",62 đánh giá
Luna Pub Danang, Đã được xác nhận,"9A Trần Phú, Hải Châu, Đà Nẵng Việt Nam",+84 93 240 02 98,1.395.348.864 ₫ - 2.147.483.647 ₫,"Quầy bar, Kiểu Ý, Pizza, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,0 ",391 đánh giá
Nhà hàng Nem, Đã được xác nhận,"Tầng 3, 216 Võ Nguyên Giáp Quận Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 91 724 86 88,93.023 ₫ - 697.674 ₫,"Hải sản, Kiểu Á, Kiểu Việt, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",82 đánh giá
7 Bridges Brewing Company Danang Beachside Brewery, Đã được xác nhận,"79 Luong Huu Khanh Phường An Hải Tây, Đà Nẵng 550000 Việt Nam",+84 362 900 123,3 ₫ - 25 ₫,"Quán rượu, Pizza, Nhà hàng bia","Bữa tối, Đồ uống","4,5 ",103 đánh giá
Le Rendez Vous, Đã được xác nhận,"20 Ly Thuong Kiet, Đà Nẵng Việt Nam",+84 236 6557 505,93.023 ₫ - 372.093 ₫,"Kiểu Âu, Kiểu Pháp, Quầy rượu vang, Quán rượu đặc sản","Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",346 đánh giá
Lam Vien Restaurant, Đã được xác nhận,"88 Trần Văn Dư 300m từ Furama Resort và Pullma Resort, Đà Nẵng 550000 Việt Nam",+84 236 3959 171,232.558 ₫ - 1.162.791 ₫,"Món kết hợp, Kiểu Việt, Tốt cho sức khỏe, Đương đại","Bữa trưa, Bữa tối, Đêm muộn","4,0 ",1.652 đánh giá
Dirty Fingers, Đã được xác nhận,"404 Võ Nguyên Giáp Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 7109 997,"Quầy bar, Quán rượu",Phù hợp với người ăn chay,"Bữa trưa, Bữa tối, Đêm muộn, Đồ uống","4,5 ",124 đánh giá
Bep Hen Vietnamese Restaurant, Chưa được xác nhận,"47 Lê Hồng Phong, Đà Nẵng Việt Nam",+84 93 533 77 05,30.000 ₫ - 200.000 ₫,"Kiểu Bữa tối, Kiểu Trung Á, Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",92 đánh giá
Himalaya Indian Restaurant, Chưa được xác nhận,"12 An Thượng 5, Đà Nẵng 550000 Việt Nam",+(84)777545617,5.000 ₫ - 150.000 ₫,"Kiểu Ấn Độ, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",81 đánh giá
Bistecca Restaurant Danang, Đã được xác nhận,"20 Dong Da 7F New Orient Hotel, Thuan Phuoc Ward, Hai Chau District, Đà Nẵng 550000 Việt Nam",+84 236 3828 828,69.767 ₫ - 6.046.512 ₫,"Kiểu Ý, Kiểu Tây nam, Kiểu Âu, Kiểu Việt, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",61 đánh giá
Urban Square Danang, Đã được xác nhận,"75-76 Phan Liêm Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 97 988 84 74,"Cà phê, Kiểu Việt, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","4,5 ",137 đánh giá
Madame Lân, Đã được xác nhận,"4 Bạch Đằng, Đà Nẵng Việt Nam",+84 90 526 02 90,"Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","4,0 ",1.895 đánh giá
Cookshop., Đã được xác nhận,"16 Vũ Văn Dũng An Hải Tây, Đà Nẵng 550000 Việt Nam",+84 1900 2140,49.000 ₫ - 399.000 ₫,"Kiểu Ý, Nhà hàng bít tết, Pizza, Kiểu Đông Âu, Quầy bar","Tùy chọn ăn chay, Phù hợp với người ăn chay","5,0 ",74 đánh giá
Nhà Hàng Nan N Kabab Halal, Đã được xác nhận,"233 Hồ Nghinh Sơn Trà, Đà Nẵng Việt Nam",+84 96 391 27 88,5 ₫ - 12 ₫,"Kiểu Ấn Độ, Đồ nướng, Kiểu Á, Kiểu Trung Đông, Kiểu Pakistan","Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Kiểu Do Thái, Tùy chọn đồ ăn không có gluten","4,5 ",227 đánh giá
Quán Bar & Burger Kangaroo, Đã được xác nhận,"229 Ho Nghinh Street,Son Tra District, Đà Nẵng 550000 Việt Nam",+84 94 260 52 54,"Quầy bar, Cà phê, Kiểu Âu, Kiểu Anh, Kiểu Bữa tối, Kiểu Úc","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","4,5 ",194 đánh giá
The Square at Novotel Danang Premier Han River, Đã được xác nhận,"36 Bạch Đằng, Hải Châu, Đà Nẵng Tầng 4, Đà Nẵng 550000 Việt Nam",+84 236 3929 999,465.116 ₫ - 1.162.791 ₫,"Kiểu Á, Kiểu Việt, Hải sản, Quốc tế, Món kết hợp","Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten, Phù hợp với người ăn chay","4,5 ",110 đánh giá
Ga Kim Chuong, Đã được xác nhận,"36 An Thượng 5 Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 97 187 14 26,93.023 ₫ - 162.791 ₫,"Kiểu Trung Quốc, Kiểu Âu, Kiểu Á, Món kết hợp, Kiểu Việt","Bữa trưa, Bữa tối","4,5 ",116 đánh giá
Quan Com Hue Ngon, Đã được xác nhận,"65 Tran Quoc Toan Hai Chau and Son Tra, Đà Nẵng Việt Nam",+84 90 530 97 99,"Hải sản, Đồ nướng, Kiểu Á, Kiểu Việt","Bữa trưa, Bữa tối, Đêm muộn","Cửa hàng bán thức ăn mang về, Ngồi ngoài trời, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn","4,0 ",344 đánh giá
